level,spawnChance,gemWeight,rareGemWeight,spikeWeight,shieldWeight,magnetWeight,multiWeight,gemScore,rareGemScore,spikePenalty
1,0.6,10,1,1,0,0,0,15,30,-10
2,0.6,10,1,2,0,0,0,15,30,-10
3,0.6,10,2,2,1,0,0,15,30,-10
4,0.65,10,2,3,1,0,0,15,30,-10
5,0.65,10,2,3,1,1,0,15,30,-15
6,0.65,10,2,4,1,1,0,15,30,-15
7,0.7,10,2,4,1,1,1,20,40,-15
8,0.7,10,3,5,1,1,1,20,40,-20
9,0.7,10,3,5,1,1,1,20,40,-20
10,0.75,10,3,6,1,1,1,25,50,-20
11,0.75,10,3,6,1,1,1,25,50,-25
12,0.8,10,3,7,1,1,1,25,50,-25
13,0.8,10,4,8,1,1,1,30,60,-30
